t,y,x
5.033333333E0,3.023737804E-1,-2.998056982E-2
5.066666667E0,3.098913149E-1,-2.999852531E-2
5.100000000E0,3.174957464E-1,-3.020997997E-2
5.133333333E0,3.246789922E-1,-3.025719638E-2
5.166666667E0,3.309182347E-1,-3.053174341E-2
5.200000000E0,3.357220492E-1,-3.064464942E-2
5.233333333E0,3.393386939E-1,-3.101473176E-2
5.266666667E0,3.410573132E-1,-3.112927816E-2
5.300000000E0,3.412183020E-1,-3.131311666E-2
5.333333333E0,3.407620193E-1,-3.149540895E-2
5.366666667E0,3.401219908E-1,-3.182139930E-2
5.400000000E0,3.390549402E-1,-3.163557961E-2
5.433333333E0,3.370136515E-1,-3.156988171E-2
5.466666667E0,3.335350585E-1,-3.114785691E-2
5.500000000E0,3.294130703E-1,-3.116726823E-2
5.533333333E0,3.263466299E-1,-3.097548933E-2
5.566666667E0,3.236341836E-1,-3.095747334E-2
5.600000000E0,3.210986723E-1,-3.074566454E-2
5.633333333E0,3.176072360E-1,-3.065044146E-2
5.666666667E0,3.134528068E-1,-3.074187138E-2
5.700000000E0,3.085624101E-1,-3.051090242E-2
5.733333333E0,3.037081650E-1,-3.030717465E-2
5.766666667E0,2.995930794E-1,-3.048765148E-2
5.800000000E0,2.970780678E-1,-3.056885409E-2
5.833333333E0,2.972300646E-1,-3.076215404E-2
5.866666667E0,3.000811399E-1,-3.094823557E-2
5.900000000E0,3.050932867E-1,-3.053958773E-2
5.933333333E0,3.119850821E-1,-3.053575124E-2
5.966666667E0,3.199016286E-1,-3.050039971E-2
6.000000000E0,3.280087966E-1,-3.065315243E-2
6.033333333E0,3.357362418E-1,-3.059472435E-2
6.066666667E0,3.423897500E-1,-3.080308843E-2
6.100000000E0,3.477898460E-1,-3.088876902E-2
6.133333333E0,3.518357444E-1,-3.118849548E-2
6.166666667E0,3.545284945E-1,-3.120950150E-2
6.200000000E0,3.547868783E-1,-3.137787164E-2
6.233333333E0,3.546515052E-1,-3.150952108E-2
6.266666667E0,3.541831370E-1,-3.191380589E-2
6.300000000E0,3.529011981E-1,-3.151759246E-2
6.333333333E0,3.509620520E-1,-3.142598848E-2
6.366666667E0,3.478527280E-1,-3.110092715E-2
6.400000000E0,3.436123181E-1,-3.072446148E-2
6.433333333E0,3.396294755E-1,-3.023307592E-2
6.466666667E0,3.368964753E-1,-3.029698958E-2
6.500000000E0,3.336524138E-1,-3.026534908E-2
6.533333333E0,3.300288832E-1,-2.992691087E-2
6.566666667E0,3.258907940E-1,-3.011626536E-2
6.600000000E0,3.206401566E-1,-2.969090031E-2
6.633333333E0,3.156699102E-1,-2.972840506E-2
6.666666667E0,3.115061640E-1,-2.990714745E-2
6.700000000E0,3.087282649E-1,-2.989041594E-2
6.733333333E0,3.088392767E-1,-3.034835767E-2
6.766666667E0,3.115895633E-1,-3.052467813E-2
6.800000000E0,3.167368385E-1,-3.016937844E-2
6.833333333E0,3.233765035E-1,-3.015656665E-2
6.866666667E0,3.313431765E-1,-3.039132709E-2
6.900000000E0,3.392542881E-1,-3.052875235E-2
6.933333333E0,3.463054843E-1,-3.053962023E-2
6.966666667E0,3.527001124E-1,-3.074899300E-2
7.000000000E0,3.576527347E-1,-3.085523554E-2
7.033333333E0,3.613869013E-1,-3.133597376E-2
7.066666667E0,3.633252934E-1,-3.147024857E-2
7.100000000E0,3.634634469E-1,-3.193927995E-2
7.133333333E0,3.630009484E-1,-3.211676674E-2
7.166666667E0,3.623958564E-1,-3.265865706E-2
7.200000000E0,3.611086045E-1,-3.254699547E-2
7.233333333E0,3.586944519E-1,-3.254595744E-2
7.266666667E0,3.549694285E-1,-3.217415601E-2
7.300000000E0,3.503720322E-1,-3.222201235E-2
7.333333333E0,3.466642984E-1,-3.203469761E-2
7.366666667E0,3.435562819E-1,-3.204607065E-2
7.400000000E0,3.403342557E-1,-3.194271401E-2
7.433333333E0,3.363699493E-1,-3.167517221E-2
7.466666667E0,3.316442989E-1,-3.191994100E-2
7.500000000E0,3.261050809E-1,-3.149114889E-2
7.533333333E0,3.203962862E-1,-3.128496619E-2
7.566666667E0,3.158543825E-1,-3.137559365E-2
7.600000000E0,3.129446199E-1,-3.145595332E-2
7.633333333E0,3.131042230E-1,-3.191636233E-2
7.666666667E0,3.155759927E-1,-3.179243301E-2
7.700000000E0,3.197216231E-1,-3.168820722E-2
7.733333333E0,3.259845262E-1,-3.157729799E-2
7.766666667E0,3.330772961E-1,-3.150206990E-2
7.800000000E0,3.403522223E-1,-3.151823502E-2
7.833333333E0,3.472510566E-1,-3.181364527E-2
7.866666667E0,3.531737327E-1,-3.178944390E-2
7.900000000E0,3.578110770E-1,-3.213746594E-2
7.933333333E0,3.612165901E-1,-3.256021392E-2
7.966666667E0,3.631752172E-1,-3.252568296E-2
8.000000000E0,3.634672492E-1,-3.298448491E-2
8.033333333E0,3.631560108E-1,-3.275399233E-2
8.066666667E0,3.628332491E-1,-3.318516710E-2
8.100000000E0,3.618446241E-1,-3.282001785E-2
8.133333333E0,3.598265086E-1,-3.256228646E-2
8.166666667E0,3.568718975E-1,-3.224758757E-2
8.200000000E0,3.528206791E-1,-3.199655638E-2
8.233333333E0,3.496652850E-1,-3.138682266E-2
8.266666667E0,3.475837142E-1,-3.135518384E-2
8.300000000E0,3.448916562E-1,-3.101250284E-2
8.333333333E0,3.421423172E-1,-3.066406932E-2
8.366666667E0,3.384576493E-1,-3.061742394E-2
8.400000000E0,3.341502445E-1,-3.038389683E-2
8.433333333E0,3.300683226E-1,-3.012132269E-2
8.466666667E0,3.268052060E-1,-3.014909592E-2
8.500000000E0,3.255871328E-1,-3.017067479E-2
8.533333333E0,3.262086463E-1,-3.052444572E-2
8.566666667E0,3.299198682E-1,-3.048432860E-2
8.600000000E0,3.352693153E-1,-3.015132890E-2
8.633333333E0,3.423614375E-1,-2.988545640E-2
8.666666667E0,3.506311421E-1,-2.991395004E-2
8.700000000E0,3.590678594E-1,-2.982393836E-2
8.733333333E0,3.673179799E-1,-2.979137128E-2
8.766666667E0,3.741127702E-1,-2.995360832E-2
8.800000000E0,3.800353297E-1,-3.032172059E-2
8.833333333E0,3.839966818E-1,-3.044962090E-2
8.866666667E0,3.865223871E-1,-3.051307443E-2
8.900000000E0,3.868821160E-1,-3.077743961E-2
8.933333333E0,3.864989455E-1,-3.076060903E-2
8.966666667E0,3.041094147E-2,3.859453451E-1
